Accident_ID,FECHA,RANGO HORARIO,DIA SEMANA,DISTRITO,district_code,LUGAR 1,coordinate location,lugar1_code,LUGAR 2,lugar2_code,Nº,CPFA Hielo,CPFA Lluvia,CPFA Niebla,CPFA Seco,CPFA Nieve,CPSV Mojada,CPSV Aceite,CPSV Grava Suelta,CPSV Seca Y Limpia,Nº VICTIMAS *,TIPO ACCIDENTE,SKOS_TypeAccident,TIPO PERSONA,SEXO,LESIVIDAD,Tramo Edad
2017-88,01/01/2017,6:00-6:59,DOMINGO,Arganzuela,https://www.wikidata.org/wiki/Q2000929,Calle de Toledo,"40.410627777778,-3.7089805555556",https://www.wikidata.org/wiki/Q5740883,,,120,false,false,false,true,false,false,false,false,true,1,CHOQUE CON OBJETO FIJO,/kos/accidentes/choque-con-objeto-fijo,CONDUCTOR,MUJER,HG                                      ,21-24
2017-307,03/01/2017,19:00-19:59,MARTES,Centro,https://www.wikidata.org/wiki/Q1763376,rue Escalinata,"40.417344444444,-3.7093611111111",https://www.wikidata.org/wiki/Q26761885,,,8,false,false,false,true,false,false,false,false,true,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,18-20
2017-485,05/01/2017,14:00-14:59,JUEVES,Tetuán,https://www.wikidata.org/wiki/Q1773540,"Calle de Infanta Mercedes, Madrid","40.4584,-3.6973111111111",https://www.wikidata.org/wiki/Q27044192,,,27,false,false,false,true,false,false,false,false,true,2,ATROPELLO,/kos/accidentes/atropello,CONDUCTOR,HOMBRE,HL                                      ,65-69
2017-191,06/01/2017,11:00-11:59,VIERNES,Centro,https://www.wikidata.org/wiki/Q1763376,"Cuesta de la Vega, Madrid",,https://www.wikidata.org/wiki/Q5794014, PASEO DE LA CIUDAD DE PLASENCIA,,0,false,false,false,true,false,false,false,false,true,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,55-59
2017-194,08/01/2017,13:00-13:59,DOMINGO,Arganzuela,https://www.wikidata.org/wiki/Q2000929,Ronda de Toledo,"40.405775,-3.7066833333333",https://www.wikidata.org/wiki/Q6111946,,,14,false,false,false,true,false,false,false,false,true,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,35-39
2017-339,08/01/2017,20:00-20:59,DOMINGO,Centro,https://www.wikidata.org/wiki/Q1763376,calle de Segovia,"40.413922222222,-3.7172805555556",https://www.wikidata.org/wiki/Q8255505,,,16,false,false,false,true,false,false,false,false,true,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,MUJER,HG                                      ,21-24
2017-615,09/01/2017,14:00-14:59,LUNES,Tetuán,https://www.wikidata.org/wiki/Q1773540,Calle de Bravo Murillo,"40.448311111111,-3.7035944444444",https://www.wikidata.org/wiki/Q5740815,,,101,false,false,false,true,false,false,false,false,true,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,MUJER,HL                                      ,35-39
2017-611,09/01/2017,23:00-23:59,LUNES,Tetuán,https://www.wikidata.org/wiki/Q1773540,"Calle de Infanta Mercedes, Madrid","40.4584,-3.6973111111111",https://www.wikidata.org/wiki/Q27044192, CALLE DE SOR ANGELA DE LA CRUZ,https://www.wikidata.org/wiki/Q21011321,0,false,false,false,true,false,false,false,false,true,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,35-39
2017-337,10/01/2017,18:00-18:59,MARTES,Retiro,https://www.wikidata.org/wiki/Q2002296,rue Montalbán,"40.418066666667,-3.6907333333333",https://www.wikidata.org/wiki/Q29903983,,,1,false,false,false,true,false,false,false,false,true,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,55-59
2017-617,10/01/2017,19:00-19:59,MARTES,Tetuán,https://www.wikidata.org/wiki/Q1773540,Calle de Bravo Murillo,"40.448311111111,-3.7035944444444",https://www.wikidata.org/wiki/Q5740815,,,243,false,false,false,true,false,false,false,false,true,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,35-39
2017-516,12/01/2017,17:00-17:59,JUEVES,Centro,https://www.wikidata.org/wiki/Q1763376,Gran Vía,"40.42,-3.70361",https://www.wikidata.org/wiki/Q1324163,,,22,false,false,false,true,false,false,false,false,true,2,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,MUJER,HG                                      ,55-59
2017-359,12/01/2017,18:00-18:59,JUEVES,Retiro,https://www.wikidata.org/wiki/Q2002296,Calle de Alcalá,"40.4283,-3.66778",https://www.wikidata.org/wiki/Q2424746,,,52,false,false,false,true,false,false,false,false,true,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,MUJER,HL                                      ,25-29
2017-359,12/01/2017,18:00-18:59,JUEVES,Retiro,https://www.wikidata.org/wiki/Q2002296,Calle de Alcalá,"40.4283,-3.66778",https://www.wikidata.org/wiki/Q2424746,,,52,false,false,false,true,false,false,false,false,true,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,NO ASIGNADO,IL                                      ,45-49
2017-425,15/01/2017,11:00-11:59,DOMINGO,Arganzuela,https://www.wikidata.org/wiki/Q2000929,boulevard Delicias,"40.399166666667,-3.6941388888889",https://www.wikidata.org/wiki/Q6065662,,,89,false,false,false,true,false,false,false,false,true,1,ATROPELLO,/kos/accidentes/atropello,CONDUCTOR,HOMBRE,IL                                      ,10-14
2017-640,20/01/2017,20:00-20:59,VIERNES,Chamartín,https://www.wikidata.org/wiki/Q1766348,paseo de la Castellana,"40.44388889,-3.69138889",https://www.wikidata.org/wiki/Q1473674,,,244,false,false,false,true,false,false,false,false,true,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,35-39
2017-660,21/01/2017,20:00-20:59,SABADO,Salamanca,https://www.wikidata.org/wiki/Q1773521,rue Goya,"40.424969444444,-3.6793916666667",https://www.wikidata.org/wiki/Q28015873,,,71,false,false,false,true,false,false,false,false,true,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,25-29
2017-686,22/01/2017,22:00-22:59,DOMINGO,Chamartín,https://www.wikidata.org/wiki/Q1766348,"Calle de Gutiérrez Solana, Madrid","40.450661111111,-3.6883166666667",https://www.wikidata.org/wiki/Q28531457,"Paseo de La Habana, Madrid",https://www.wikidata.org/wiki/Q28059068,0,false,false,false,true,false,false,false,false,true,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,21-24
2017-749,24/01/2017,10:00-10:59,MARTES,Retiro,https://www.wikidata.org/wiki/Q2002296,"Calle de O'Donnell, Madrid","40.421416666667,-3.6723527777778",https://www.wikidata.org/wiki/Q5740859,,,44,false,false,false,true,false,false,false,false,true,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,45-49
2017-834,26/01/2017,8:00-8:59,JUEVES,Hortaleza,https://www.wikidata.org/wiki/Q1928529,avenida de Machupichu,"40.460144444444,-3.6284305555556",https://www.wikidata.org/wiki/Q28971955,"Calle de José Miguel Guridi, Madrid",https://www.wikidata.org/wiki/Q28971962,0,false,false,false,true,false,false,false,false,true,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,25-29
2017-840,27/01/2017,8:00-8:59,VIERNES,Retiro,https://www.wikidata.org/wiki/Q2002296,rue Doctor Esquerdo,"40.41720278,-3.66934722",https://www.wikidata.org/wiki/Q5741005,,,114,false,true,false,false,false,true,false,false,false,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,50-54
2017-1120,31/01/2017,21:00-21:59,MARTES,Centro,https://www.wikidata.org/wiki/Q1763376,carrer de Cedaceros,"40.417383333333,-3.6984805555556",https://www.wikidata.org/wiki/Q27051021,,,4,false,false,false,true,false,false,false,false,true,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,MUJER,HL                                      ,30-34
2017-1109,02/02/2017,15:00-15:59,JUEVES,Arganzuela,https://www.wikidata.org/wiki/Q2000929,Avenida del Planetario,"40.38977814,-3.68676114",https://www.wikidata.org/wiki/Q17622122, CALLE DE EROS,,0,false,true,false,false,false,true,false,false,false,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,40-44
2017-1145,02/02/2017,22:00-22:59,JUEVES,Hortaleza,https://www.wikidata.org/wiki/Q1928529,Avenida de los Andes,"40.454827777778,-3.6214805555556",https://www.wikidata.org/wiki/Q28997223, GLORIETA DE YUCATAN,,0,false,false,false,true,false,true,false,false,false,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,MUJER,HL                                      ,25-29
2017-1082,03/02/2017,00:00-00:59,VIERNES,Chamberí,https://www.wikidata.org/wiki/Q1763370,Calle de Bravo Murillo,"40.448311111111,-3.7035944444444",https://www.wikidata.org/wiki/Q5740815,rue José Abascal,https://www.wikidata.org/wiki/Q27310549,0,false,false,false,true,false,false,false,false,true,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,21-24
2017-1266,03/02/2017,22:00-22:59,VIERNES,Centro,https://www.wikidata.org/wiki/Q1763376,San Bernardo street,"40.425722222222,-3.7072194444444",https://www.wikidata.org/wiki/Q5740864,,,5,false,false,false,true,false,false,false,false,true,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,30-34
2017-1166,04/02/2017,13:00-13:59,SABADO,San Blas,https://www.wikidata.org/wiki/Q2001937,avenida de Arcentales,"40.4342,-3.6136527777778",https://www.wikidata.org/wiki/Q56155322,,,7,false,true,false,false,false,true,false,false,false,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,30-34
2017-1222,04/02/2017,20:00-20:59,SABADO,Arganzuela,https://www.wikidata.org/wiki/Q2000929,rue Bustamante,"40.400623,-3.689926",https://www.wikidata.org/wiki/Q27430098,boulevard Delicias,https://www.wikidata.org/wiki/Q6065662,0,false,true,false,false,false,true,false,false,false,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,18-20
2017-1233,05/02/2017,12:00-12:59,DOMINGO,Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,calle del Arquitecto Sánchez Arcas,"40.453527777778,-3.7160694444444",https://www.wikidata.org/wiki/Q29045308,,,13,false,false,false,true,false,false,false,false,false,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,30-34
2017-1250,07/02/2017,9:00-9:59,MARTES,Centro,https://www.wikidata.org/wiki/Q1763376,"Calle de Torija, Madrid","40.420811111111,-3.7103222222222",https://www.wikidata.org/wiki/Q28946398, PLAZA DE LA MARINA ESPAÑOLA,,0,false,false,false,true,false,false,false,false,true,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,45-49
