Accident_ID,FECHA,RANGO HORARIO,DIA SEMANA,DISTRITO,district_code,LUGAR1,latitude,longitude,LUGAR 2,lugar2_code,Nr.,CPFA Hielo,CPFA Lluvia,CPFA Niebla,CPFA Seco,CPFA Nieve,CPSV Mojada,CPSV Aceite,CPSV Grava Suelta,CPSV Seca Y Limpia,Nº VICTIMAS *,TIPO ACCIDENTE,SKOS_TypeAccident,TIPO PERSONA,SEXO,LESIVIDAD,Tramo Edad
2017-88,01-01-17,6:00-6:59,DOMINGO,Arganzuela,https://www.wikidata.org/wiki/Q2000929,Calle de Toledo,40.41062778,-3.708980556,,,120,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,CHOQUE CON OBJETO FIJO,/kos/accidentes/choque-con-objeto-fijo,CONDUCTOR,MUJER,HG                                      ,21-24
2017-307,03-01-17,19:00-19:59,MARTES,Centro,https://www.wikidata.org/wiki/Q1763376,rue Escalinata,40.41734444,-3.709361111,,,8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,18-20
2017-485,05-01-17,14:00-14:59,JUEVES,Tetuán,https://www.wikidata.org/wiki/Q1773540,"Calle de Infanta Mercedes, Madrid",40.4584,-3.697311111,,,27,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,ATROPELLO,/kos/accidentes/atropello,CONDUCTOR,HOMBRE,HL                                      ,65-69
2017-191,06-01-17,11:00-11:59,VIERNES,Centro,https://www.wikidata.org/wiki/Q1763376,"Cuesta de la Vega, Madrid",,, PASEO DE LA CIUDAD DE PLASENCIA,,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,55-59
2017-194,08-01-17,13:00-13:59,DOMINGO,Arganzuela,https://www.wikidata.org/wiki/Q2000929,Ronda de Toledo,40.405775,-3.706683333,,,14,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,35-39
2017-339,08-01-17,20:00-20:59,DOMINGO,Centro,https://www.wikidata.org/wiki/Q1763376,calle de Segovia,40.41392222,-3.717280556,,,16,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,MUJER,HG                                      ,21-24
2017-615,09-01-17,14:00-14:59,LUNES,Tetuán,https://www.wikidata.org/wiki/Q1773540,Calle de Bravo Murillo,40.44831111,-3.703594444,,,101,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,MUJER,HL                                      ,35-39
2017-611,09-01-17,23:00-23:59,LUNES,Tetuán,https://www.wikidata.org/wiki/Q1773540,"Calle de Infanta Mercedes, Madrid",40.4584,-3.697311111, CALLE DE SOR ANGELA DE LA CRUZ,https://www.wikidata.org/wiki/Q21011321,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,35-39
2017-337,10-01-17,18:00-18:59,MARTES,Retiro,https://www.wikidata.org/wiki/Q2002296,rue Montalbán,40.41806667,-3.690733333,,,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,55-59
2017-617,10-01-17,19:00-19:59,MARTES,Tetuán,https://www.wikidata.org/wiki/Q1773540,Calle de Bravo Murillo,40.44831111,-3.703594444,,,243,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,35-39
2017-516,12-01-17,17:00-17:59,JUEVES,Centro,https://www.wikidata.org/wiki/Q1763376,Gran Vía,40.42,-3.70361,,,22,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,MUJER,HG                                      ,55-59
2017-359,12-01-17,18:00-18:59,JUEVES,Retiro,https://www.wikidata.org/wiki/Q2002296,Calle de Alcalá,40.4283,-3.66778,,,52,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,MUJER,HL                                      ,25-29
2017-359,12-01-17,18:00-18:59,JUEVES,Retiro,https://www.wikidata.org/wiki/Q2002296,Calle de Alcalá,40.4283,-3.66778,,,52,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,NO ASIGNADO,IL                                      ,45-49
2017-425,15-01-17,11:00-11:59,DOMINGO,Arganzuela,https://www.wikidata.org/wiki/Q2000929,boulevard Delicias,40.39916667,-3.694138889,,,89,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,ATROPELLO,/kos/accidentes/atropello,CONDUCTOR,HOMBRE,IL                                      ,Oct-14
2017-640,20-01-17,20:00-20:59,VIERNES,Chamartín,https://www.wikidata.org/wiki/Q1766348,paseo de la Castellana,40.44388889,-3.69138889,,,244,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,35-39
2017-660,21-01-17,20:00-20:59,SABADO,Salamanca,https://www.wikidata.org/wiki/Q1773521,rue Goya,40.42496944,-3.679391667,,,71,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,25-29
2017-686,22-01-17,22:00-22:59,DOMINGO,Chamartín,https://www.wikidata.org/wiki/Q1766348,"Calle de Gutiérrez Solana, Madrid",40.45066111,-3.688316667,"Paseo de La Habana, Madrid",https://www.wikidata.org/wiki/Q28059068,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,21-24
